Company Name,Company Website,Description,Industry,Revenue,Data Volume,Data Type,Original Content,Country
Keya Accounting and Tax Services LLC,https://keyatax.com/,"Keya Accounting Services LLC experienced team of accountants, bookkeepers, payroll specialists, marketing and IT professionals understanding of the business climate in the Washington.",Tax,> $5 Millions,,"Personal Data.
Accounting, budget, financial data.
Clients data: 625 corporate clients, 864 personal clients","Keya Accounting and Tax Services LLC
https://keyatax.com/
Keya Accounting Services LLC experienced team of accountants, bookkeepers, payroll specialists, marketing and IT professionals understanding of the business climate in the Washington.
CEO: Keshab Baral
Mobile Phone:571-407-5900
Revenue: > $5 Millions
Data description:
Personal Data.
Accounting, budget, financial data.
Clients data: 625 corporate clients, 864 personal clients
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
usa
tax
",USA
CK Associates,https://www.c-ka.com,"CK Associates is an environmental consulting firm that is fully owned by its employees. CK was established in 1981 and became an employeeowned firm in 2004. CKs offices are located in Baton Rouge, Lake Charles, Shreveport and Houston.",Environmental Services,> $12 Millions,1 Tb,"Clients and customers data.
Finance data.
Engineering and technologies.
Contract data and NDAs.
Incidents and accidents.
Operational and business files.
Mailboxes & Internal and external email correspondence.","CK Associates
https://www.c-ka.com
CK Associates is an environmental consulting firm that is fully owned by its employees. CK was established in 1981 and became an employeeowned firm in 2004. CKs offices are located in Baton Rouge, Lake Charles, Shreveport and Houston.
CEO: Dan Strecker
Business email: Dan.Strecker@c-ka.com
Mobile Phone:  +1 (225) 229-8856
Chief Operating Officer: Tre Wharton
Business email: tre.wharton@c-ka.com
Mobile Phone: +1 (225) 923-6460
Chief Finance Officer: Pat Long
Business email: pat.long@c-ka.com
Mobile Phone: +1 (225) 252-7237
Revenue: > $12 Millions
Data volume: 1 Tb
Data description:
Clients and customers data.
Finance data.
Engineering and technologies.
Contract data and NDAs.
Incidents and accidents.
Operational and business files.
Mailboxes & Internal and external email correspondence.
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
us
environmental_services
",USA
Studio Legale Associato Isolabella,,Studio Legale Associato Isolabella is a company that operates in the Law Firms & Legal Services industry.,,,,,"Studio Legale Associato Isolabella
Studio Legale Associato Isolabella is a company that operates in the Law Firms & Legal Services industry.
Founder: Lodovico Isolabella
Partner: Francesco Isolabella
Cell Phone: +39-348-382-0733",
"Western Supplies, Inc",https://westernsupplies.com,"Western Supplies, Inc. is your experienced, nationwide Pipeline Supplier. Whether you need Right of Way or Testing Equipment, Rental or Supplies, call one of the most trusted names in the business.",Wholesalers,> $7 Millions,247 Gb,"Clients Personal Data.
Employees Personal Data
Accounting Data","Western Supplies, Inc
https://westernsupplies.com
Western Supplies, Inc. is your experienced, nationwide Pipeline Supplier. Whether you need Right of Way or Testing Equipment, Rental or Supplies, call one of the most trusted names in the business.
Owner: Joe Ellis
Mobile Phone: +1 (940) 224-2978
Revenue: > $7 Millions
Data volume: 247 Gb
Data description:
Clients Personal Data.
Employees Personal Data
Accounting Data
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
usa
wholesalers
",USA
Texas Centers for Infectious Disease Associates,https://www.texascentersid.com,"TCIDA is a private infectious disease group serving the entire DFW metroplex - Dallas and Fort Worth - with brand new buildings in both cities, infusion centers in both cities, and its own pharmacy.",Healthcare,> $8 Millions,300 Gb,"Accounting Data.
Medical and Personal Data.
Network Users Personal Folders.
Files from President PC.
Fileserver Data.","Texas Centers for Infectious Disease Associates
https://www.texascentersid.com
TCIDA is a private infectious disease group serving the entire DFW metroplex - Dallas and Fort Worth - with brand new buildings in both cities, infusion centers in both cities, and its own pharmacy.
President: Cheryl McDonald
Mobile Phone: +1 (817) 475-5369
Revenue: > $8 Millions
Data volume: 300 Gb
Data description:
Accounting Data.
Medical and Personal Data.
Network Users Personal Folders.
Files from President PC.
Fileserver Data.
Texas Centers for Infectious Disease Associates contents.txt
texascentersid.com_data_1.7z texascentersid.com_data_2.7z texascentersid.com_data_3.7z texascentersid.com_data_4.7z texascentersid.com_data_5.7z texascentersid.com_data_6.7z texascentersid.com_data_7.7z texascentersid.com_data_8.7z texascentersid.com_data_9.7z texascentersid.com_data_10.7z texascentersid.com_data_11.7z texascentersid.com_data_12.7z texascentersid.com_data_13.7z texascentersid.com_data_14.7z texascentersid.com_data_15.7z texascentersid.com_data_16.7z texascentersid.com_data_17.7z texascentersid.com_data_18.7z texascentersid.com_data_19.7z texascentersid.com_data_20.7z texascentersid.com_data_21.7z texascentersid.com_data_22.7z texascentersid.com_data_23.7z texascentersid.com_data_24.7z texascentersid.com_data_25.7z texascentersid.com_data_26.7z texascentersid.com_data_27.7z texascentersid.com_data_28.7z texascentersid.com_data_29.7z texascentersid.com_data_30.7z texascentersid.com_data_31.7z texascentersid.com_data_32.7z texascentersid.com_data_33.7z texascentersid.com_data_34.7z texascentersid.com_data_35.7z texascentersid.com_data_36.7z texascentersid.com_data_37.7z texascentersid.com_data_38.7z texascentersid.com_data_39.7z texascentersid.com_data_40.7z texascentersid.com_data_41.7z texascentersid.com_data_42.7z texascentersid.com_data_43.7z texascentersid.com_data_44.7z texascentersid.com_data_45.7z texascentersid.com_data_46.7z texascentersid.com_data_47.7z texascentersid.com_data_48.7z texascentersid.com_data_49.7z texascentersid.com_data_50.7z texascentersid.com_data_51.7z texascentersid.com_data_52.7z texascentersid.com_data_53.7z texascentersid.com_data_54.7z texascentersid.com_data_55.7z texascentersid.com_data_56.7z texascentersid.com_data_57.7z texascentersid.com_data_58.7z texascentersid.com_data_59.7z texascentersid.com_data_60.7z texascentersid.com_data_61.7z texascentersid.com_data_62.7z texascentersid.com_data_63.7z texascentersid.com_data_64.7z texascentersid.com_data_65.7z texascentersid.com_data_66.7z texascentersid.com_data_67.7z texascentersid.com_data_68.7z texascentersid.com_data_69.7z texascentersid.com_data_70.7z texascentersid.com_data_71.7z texascentersid.com_data_72.7z texascentersid.com_data_73.7z texascentersid.com_data_74.7z texascentersid.com_data_75.7z texascentersid.com_data_76.7z texascentersid.com_data_77.7z texascentersid.com_data_78.7z texascentersid.com_data_79.7z texascentersid.com_data_80.7z texascentersid.com_data_81.7z texascentersid.com_data_82.7z texascentersid.com_data_83.7z texascentersid.com_data_84.7z texascentersid.com_data_85.7z texascentersid.com_data_86.7z texascentersid.com_data_87.7z texascentersid.com_data_88.7z texascentersid.com_data_89.7z texascentersid.com_data_90.7z texascentersid.com_data_91.7z texascentersid.com_data_92.7z texascentersid.com_data_93.7z texascentersid.com_data_94.7z texascentersid.com_data_95.7z texascentersid.com_data_96.7z texascentersid.com_data_97.7z texascentersid.com_data_98.7z texascentersid.com_data_99.7z texascentersid.com_data_100.7z texascentersid.com_data_101.7z texascentersid.com_data_102.7z texascentersid.com_data_103.7z texascentersid.com_data_104.7z texascentersid.com_data_105.7z texascentersid.com_data_106.7z texascentersid.com_data_107.7z texascentersid.com_data_108.7z texascentersid.com_data_109.7z texascentersid.com_data_110.7z texascentersid.com_data_111.7z texascentersid.com_data_112.7z texascentersid.com_data_113.7z texascentersid.com_data_114.7z texascentersid.com_data_115.7z texascentersid.com_data_116.7z texascentersid.com_data_117.7z texascentersid.com_data_118.7z texascentersid.com_data_119.7z texascentersid.com_data_120.7z texascentersid.com_data_121.7z texascentersid.com_data_122.7z texascentersid.com_data_123.7z texascentersid.com_data_124.7z texascentersid.com_data_125.7z texascentersid.com_data_126.7z texascentersid.com_data_127.7z texascentersid.com_data_128.7z texascentersid.com_data_129.7z texascentersid.com_data_130.7z texascentersid.com_data_131.7z texascentersid.com_data_132.7z texascentersid.com_data_133.7z texascentersid.com_data_134.7z texascentersid.com_data_135.7z texascentersid.com_data_136.7z texascentersid.com_data_137.7z texascentersid.com_data_138.7z texascentersid.com_data_139.7z texascentersid.com_data_140.7z texascentersid.com_data_141.7z texascentersid.com_data_142.7z texascentersid.com_data_143.7z texascentersid.com_data_144.7z texascentersid.com_data_145.7z texascentersid.com_data_146.7z texascentersid.com_data_147.7z texascentersid.com_data_148.7z texascentersid.com_data_149.7z texascentersid.com_data_150.7z texascentersid.com_data_151.7z texascentersid.com_data_152.7z texascentersid.com_data_153.7z texascentersid.com_data_154.7z texascentersid.com_data_155.7z texascentersid.com_data_156.7z texascentersid.com_data_157.7z texascentersid.com_data_158.7z texascentersid.com_data_159.7z texascentersid.com_data_160.7z texascentersid.com_data_161.7z texascentersid.com_data_162.7z texascentersid.com_data_163.7z texascentersid.com_data_164.7z texascentersid.com_data_165.7z texascentersid.com_data_166.7z texascentersid.com_data_167.7z texascentersid.com_data_168.7z texascentersid.com_data_169.7z texascentersid.com_data_170.7z texascentersid.com_data_171.7z texascentersid.com_data_172.7z texascentersid.com_data_173.7z texascentersid.com_data_174.7z texascentersid.com_data_175.7z texascentersid.com_data_176.7z texascentersid.com_data_177.7z texascentersid.com_data_178.7z texascentersid.com_data_179.7z texascentersid.com_data_180.7z texascentersid.com_data_181.7z texascentersid.com_data_182.7z texascentersid.com_data_183.7z texascentersid.com_data_184.7z texascentersid.com_data_185.7z texascentersid.com_data_186.7z texascentersid.com_data_187.7z texascentersid.com_data_188.7z texascentersid.com_data_189.7z texascentersid.com_data_190.7z texascentersid.com_data_191.7z texascentersid.com_data_192.7z texascentersid.com_data_193.7z texascentersid.com_data_194.7z texascentersid.com_data_195.7z texascentersid.com_data_196.7z texascentersid.com_data_197.7z texascentersid.com_data_198.7z texascentersid.com_data_199.7z texascentersid.com_data_200.7z texascentersid.com_data_201.7z texascentersid.com_data_202.7z texascentersid.com_data_203.7z texascentersid.com_data_204.7z texascentersid.com_data_205.7z texascentersid.com_data_206.7z texascentersid.com_data_207.7z texascentersid.com_data_208.7z texascentersid.com_data_209.7z texascentersid.com_data_210.7z texascentersid.com_data_211.7z texascentersid.com_data_212.7z texascentersid.com_data_213.7z texascentersid.com_data_214.7z texascentersid.com_data_215.7z texascentersid.com_data_216.7z texascentersid.com_data_217.7z texascentersid.com_data_218.7z texascentersid.com_data_219.7z texascentersid.com_data_220.7z texascentersid.com_data_221.7z texascentersid.com_data_222.7z texascentersid.com_data_223.7z texascentersid.com_data_224.7z texascentersid.com_data_225.7z texascentersid.com_data_226.7z texascentersid.com_data_227.7z texascentersid.com_data_228.7z texascentersid.com_data_229.7z texascentersid.com_data_230.7z texascentersid.com_data_231.7z texascentersid.com_data_232.7z texascentersid.com_data_233.7z texascentersid.com_data_234.7z texascentersid.com_data_235.7z texascentersid.com_data_236.7z
usa
healthcare
",USA
Eric Rossi CPA LLC,,"Eric Rossi CPA LLC is a full-service Accounting firm licensed in PA. ERCPA offers a broad range of services for business owners, executives, and independent professionals.",Legal,<$5 Millions,910 GB,"Finance data
HR data
Incidents & casefiles
Court and litigations data
Exhibits
Clients PII & PHI records
Mailboxes
Internal and external email correspondence","Eric Rossi CPA LLC
Eric Rossi CPA LLC is a full-service Accounting firm licensed in PA. ERCPA offers a broad range of services for business owners, executives, and independent professionals.
Revenue: <$5 Millions
Data Volume: 910 GB
Data description:
Finance data
HR data
Incidents & casefiles
Court and litigations data
Exhibits
Clients PII & PHI records
Mailboxes
Internal and external email correspondence
usa
law
",USA
Bunkhouse Group,,Bunkhouse Group is a company that operates in the Lodging & Resorts industry.,Hospitality,$11 Millions,2.7 TB,"Finance data
HR data
Partners and vendors data
Clients private data
Contracts and agreements
Incidents reports and images
Mailboxes
Internal and external email correspondence with attachments
Databases
Business data
Developments
Finance data
Graphic data
Email archives
Technical data
Videos","Bunkhouse Group
Bunkhouse Group is a company that operates in the Lodging & Resorts industry.
Founder: Liz Lambert
Cell Phone: +1-512-426-6486
Co-Owner: Greg Marchbanks
Cell Phone: +1-512-415-5484
Chief Financial Office: Bill Gernstein
Cell Phone: +1-512-431-1204
*CVP / General Counsel: Lisa Bonifacio
Cell Phone: +1-617-233-5989
Revenue: $11 Millions
Data Volume: 2.7 TB
Data description:
Finance data
HR data
Partners and vendors data
Clients private data
Contracts and agreements
Incidents reports and images
Mailboxes
Internal and external email correspondence with attachments
Databases
Business data
Developments
Finance data
Graphic data
Email archives
Technical data
Videos
Link to download the rest data. Use i2p network to download it.
Bunkhouse Group
usa
hospitality


--- ZIP File Summary ---
bunkhousegroup.com_business_1.zip: 64 zip files
bunkhousegroup.com_development_1.zip: 14 zip files
bunkhousegroup.com_finance_1.zip: 144 zip files
bunkhousegroup.com_graphics_1.zip: 659 zip files
bunkhousegroup.com_mail_1.zip: 41 zip files
bunkhousegroup.com_technical_1.zip: 130 zip files
bunkhousegroup.com_video_1.zip: 13 zip files",USA
ICWI,https://icwi.com,"ICWI is a leading General Insurance Company in the Caribbean operating in nine islands throughout the region: the Bahamas, the British Virgin Islands, the Cayman Islands, Jamaica, St. Maarten, St. Kitts & Nevis, Turks & Caicos, Dominica and Trinidad & Tobago.",Insurance,> $46 Millions,3.5 Tb,"Clients Personal Data.
Employees Personal Data.
Accounting Data.","ICWI
https://icwi.com
ICWI is a leading General Insurance Company in the Caribbean operating in nine islands throughout the region: the Bahamas, the British Virgin Islands, the Cayman Islands, Jamaica, St. Maarten, St. Kitts & Nevis, Turks & Caicos, Dominica and Trinidad & Tobago.
Chariman & CEO: Dennis Lalor
Business email: dhlalor@ICWI.com
Mobile Phone:  (876) 926-9040
President: Paul Lalor
Business email: plalor@icwi.com
Mobile Phone: (904) 737-4747
Revenue: > $46 Millions
Data volume: 3.5 Tb
Data description:
Clients Personal Data.
Employees Personal Data.
Accounting Data.
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
jamaica
insurance
",Jamaica
"Wayne Wright, LLP.",https://www.waynewright.com,"Wayne Wright Injury Lawyers is a legal services company based out of 1001 Comanche St, Corpus Christi, Texas, United States.",Legal,> $5 Millions,1 TB,"Personal Data.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from CFO PC.
Email and msg archives.","Wayne Wright, LLP.
https://www.waynewright.com
Wayne Wright Injury Lawyers is a legal services company based out of 1001 Comanche St, Corpus Christi, Texas, United States.
CEO: Wayne Wright
Business email: wwright@waynewright.com
Mobile Phone: +1 (210) 279-7077
Chief Information Officer: Kristina Sprey
Business email: ksprey@waynewright.com
Mobile Phone: +1 (210) 834-0843
Revenue: > $5 Millions
Data volume: 1 TB
Data description:
Personal Data.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from CFO PC.
Email and msg archives.
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
usa
law
",USA
M.Royo & KlockMetal,https:/www.mroyo.com https:/www.klockmetal.com,"Since 1952, the company has chosen to grow and develop in Argentina. We are a national company that adds value in the manufacture, marketing and distribution of steel pipes with seams locally and internationally.",Metal Works,> $5 Millions,,"Supply-chain data
Manufacturing data
Fileserver data
Data of network users folders","M.Royo & KlockMetal
https:/www.mroyo.com https:/www.klockmetal.com
Since 1952, the company has chosen to grow and develop in Argentina. We are a national company that adds value in the manufacture, marketing and distribution of steel pipes with seams locally and internationally.
Revenue: > $5 Millions
Data description:
Supply-chain data
Manufacturing data
Fileserver data
Data of network users folders
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
argentina
metal_works
",Argentina
Scott Pharma Solutions,https://scottpharma.net/,"Provider of integrated feed, bedding & enrichment program development services. The companys integrated feed, bedding & enrichment program development services provides animals with the best possible care and maximizes their health and well-being.",Pharmaceutical,> $5 Millions,,"Pharmaceutical data
Fileserver data
Data of network users folders
Medical data","Scott Pharma Solutions
https://scottpharma.net/
Provider of integrated feed, bedding & enrichment program development services. The companys integrated feed, bedding & enrichment program development services provides animals with the best possible care and maximizes their health and well-being.
Revenue: > $5 Millions
Data description:
Pharmaceutical data
Fileserver data
Data of network users folders
Medical data
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
usa
pharmaceutical
",USA
Fish Nelson & Holden,https://www.fishnelson.com,"Fish Nelson & Holden, LLC concentrates its practice in the area of insurance defense litigation. The firm defends premises liability, products liability, personal injury, property loss, workers compensation, employment law and other tort actions for insurance carriers and self insured employers.",Legal,> $5 Millions,1 TB,"Medical and lab tests clients files.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from Top management PC.
Operational and business files.
Email and msg archives.","Fish Nelson & Holden
https://www.fishnelson.com
Fish Nelson & Holden, LLC concentrates its practice in the area of insurance defense litigation. The firm defends premises liability, products liability, personal injury, property loss, workers compensation, employment law and other tort actions for insurance carriers and self insured employers.
Partner: Michael I. Fish
Business email: mfish@fishnelson.com
Mobile Phone: +1-205-249-8855
Partner: Mary Stewart Nelson
Business email: msnelson@fishnelson.com
Mobile Phone: +1-205-410-6468
Partner: Joshua G. Holden
Business email: jholden@fishnelson.com
Mobile Phone: +1-205-266-2131
Revenue: > $5 Millions
Data volume: 1 TB
Data description:
Medical and lab tests clients files.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from Top management PC.
Operational and business files.
Email and msg archives.",
"Atwood & Cherny, P.C.",http://atwoodcherny.com,"Atwood & Cherny, P.C. has received national recognition as one of the leading family law firms in the country.",Legal,> $5 Millions,66 GB,"Clients Personal Data.
Employees Personal Data
Accounting Data","Atwood & Cherny, P.C.
http://atwoodcherny.com
Atwood & Cherny, P.C. has received national recognition as one of the leading family law firms in the country.
Revenue: > $5 Millions
Data volume: 66 GB
Data description:
Clients Personal Data.
Employees Personal Data
Accounting Data
Data of this company will be available soon. It will be published block by block, so stay tuned for updates of this company daily
us
law
",USA
