CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Keya Accounting and Tax Services LLC,https://keyatax.com/,Tax,"Fairfax, Virginia",United States,"Our team creates business growth services specially designed to deliver optimized results for your business. And as your business evolves and expands, we take the time to sit down and discuss alternatives that will make it stronger in the future.",,,,,"PII, Customer and Client Data",BianLian
CK Associates,https://www.c-ka.com,Environmental Services,Louisiana,United States,"CK Associates, at all levels of our organization, is committed to achieve growth for our Principals through our distribution network and direct customer relationships. We maintain strong relationships, focus our efforts, and commit to exceed the expectations of our suppliers, our distributors and our customers. Reputation, integrity and ethics are the foundation of our path to success.

CK Associates is a technical sales organization that is a privately held California corporation. Since our inception in 1982, we have had a steady growth and our charter is to continue that growth. Our focus has been to build a synergistic line card, to completely support the needs of customers in our territories. We are staffed with highly motivated personnel, including Field Application Engineers and Distribution Sales Managers. CK serves Arizona and Southern California (which includes Los Angeles, Orange County, San Diego and Imperial Counties), as well as Baja California (Maquiladoras).",11-50 employees,,,1 Tb,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Studio Legale Associato Isolabella,,,Milano,,"Lo Studio Legale Isolabella è stato fondato dallavvocato Lodovico Isolabella allinizio degli anni 60.  

Lo Studio e i suoi professionisti operano esclusivamente nellambito del Diritto Penale, in particolare nel Diritto Penale dImpresa, fornendo assistenza prevalentemente a Società (in ogni settore, da quello Finanziario a quello Industriale e Commerciale), Compagnie di Assicurazione, Istituti di Credito, Strutture Sanitarie pubbliche e private, assistendo direttamente sia le Persone Giuridiche, che le persone fisiche.

Studio Isolabella was founded by Lodovico Isolabella at the beginning of the 1960s and operates exclusively in the field of criminal law, with particular focus on corporate criminal law. 
The Firm and its professionals work exclusively in the branch of Criminal Law, in particular Corporate Criminal Law, providing assistance mainly to companies operating in different sectors (Banks, Funds, Industrial Companies, Hospitals, Public Bodies) assisting both legal and natural persons.",11-50 employees,,,,,BianLian
"Western Supplies, Inc",https://westernsupplies.com,Wholesalers,"Wichita Falls, Texas",United States,"Western Supplies is your experienced Pipeline Supplier. Whether you need Right of Way Materials, Testing Equipment or anything in between.  Since 1970, Western Supplies, Inc has served the pipeline industry with excellent customer service and the highest quality products.  Sales and Rental Equipment and supplies.",11-50 employees,,,247 Gb,"PII, Customer and Client Data, Employee and HR data",BianLian
Texas Centers for Infectious Disease Associates,https://www.texascentersid.com,Healthcare,"FORT WORTH, TX",United States,Infectious disease consulting services and infusion pharmacy,11-50 employees,,,300 Gb,"PII, Healthcare Data",BianLian
Eric Rossi CPA LLC,,Legal,"Pittsburgh, Pennsylvania",United States,"Our firm provides outstanding service to our clients because of our dedication to three underlying principles: professionalism, responsiveness, and quality.",2-10 employees,,,910 GB,"PII, Customer and Client Data, Employee and HR data, Legal Documents, Sensitive Communication",BianLian
Bunkhouse Group,,Hospitality,"Austin, Texas",United States,"Bunkhouse has a reputation for building memorable experiences that offer more than just a good night's sleep and a great cup of coffee. Passion for design, tireless attention to detail and a commitment to creating authentic culture have earned our properties a unique place in the hearts and minds of those who visit us. Our work is rooted in the communities in which we exist, and we believe above all else in creating an awareness of and connection to a sense of place in all that we do.

Our success is best measured by the loyalty of our guests, employees, stakeholders, vendors and partners, and we are proud to see those meaningful connections translate into a thriving business. We at Bunkhouse are proud to build businesses with soul. It's not only the right thing to do, and the most fun – it's sustainable, profitable and scalable.",,,,2.7 TB,"Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
ICWI,https://icwi.com,Insurance,"Kingston, Kingston",Jamaica,"ICWI is a leading General Insurance Company in the Caribbean operating in nine islands throughout the region: the Bahamas, the British Virgin Islands, the Cayman Islands, Jamaica, St. Maarten, St. Kitts & Nevis, Turks & Caicos, Dominica and Trinidad & Tobago. Bolstered by over 55 years of experience, we intend to continue our expansion throughout the region, leveraging the risk diversification and operational efficiencies provided by scale.",201-500 employees,,,3.5 Tb,"PII, Customer and Client Data, Employee and HR data",BianLian
"Wayne Wright, LLP.",https://www.waynewright.com,Legal,"Austin, Texas",United States,"At Wayne Wright LLP, we are fully equipped to handle your injury case with the utmost compassion and care. Our team of injury attorneys have the experience and skill needed to get you the maximum settlement for your case so that you can get your life back on track. In this day and age, its not enough to demand your justice, so we are going to fight for it.",51-200 employees,,,1 TB,"PII, Employee and HR data, Sensitive Communication",BianLian
M.Royo & KlockMetal,https:/www.mroyo.com https:/www.klockmetal.com,Metal Works,Buenos Aires,Argentina,M.Royo and Klockmetal are two Argentine companies that work together to provide long and flat steel,1-25 employees,,,,Employee and HR data,BianLian
Scott Pharma Solutions,https://scottpharma.net/,Pharmaceutical,"Marlborough, Massachusetts",United States,"ScottPharma Solutions was launched in January 2016 by combining two respected distributors, Scotts Distributing and PharmaServ",2-10 employees,,,,"Employee and HR data, Healthcare Data",BianLian
Fish Nelson & Holden,https://www.fishnelson.com,Legal,"Birmingham, Alabama",,"Fish Nelson & Holden, LLC is a full-service law firm composed of a carefully assembled, talented group of attorneys and support staff. The entire Fish Nelson & Holden team recognizes the importance of professional development and continuously seeks new and better ways to serve our clients. ",,,,1 TB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication, Healthcare Data",BianLian
"Atwood & Cherny, P.C.",http://atwoodcherny.com,Legal,"Boston, Massachusetts",United States,"Atwood & Cherny, P.C. offers an array of services in the area of family law and divorce in addition to litigation, appellate work and mediation. Many of our attorneys are trained in Alternative Dispute Resolution and serve as Court Appointed Masters, Conciliators and Guardian Ad Litems.  Divorces involving high net worth and substantial assets require careful planning.  Let the respected attorneys of Atwood & Cherny guide you through this process.",11-50 employees,,,66 GB,"PII, Customer and Client Data, Employee and HR data",BianLian
Better Business Bureau,https://www.bbb.org (Arizona office),,"Arlington, Virginia",United States,"Since 1912, the Better Business Bureau has been on the forefront of positive marketplace change by partnering with leading companies committed to the best practices of business ethics, marketplace excellence, and effective industry self-regulation. As a mission-driven nonprofit organization, the over 100 BBBs across the U.S., Canada and Mexico work with consumers, businesses, and the government to advance marketplace trust.","1,001-5,000 employees",,,1.2 Tb,"PII, Employee and HR data, Sensitive Communication",BianLian
Sable International,https://www.sableinternational.com/,,"London, England",,"Sable brings together a group of companies that specialise in unique financial and immigration services for businesses and individuals.

Our clients are ‘global citizens; individuals and SMEs with international interests like wealth, property, clients, suppliers and family abroad. For three decades, we have provided this clientele with expertise that is tailored to their unique circumstances.

We provide a personalised service to clients who enjoy direct access to experienced professionals. If you are looking for a smart and able financial services provider, wed love to speak with you. 

We are fully regulated by the ICAEW, FCA OISC and The Law Society",201-500 employees,,,200 Gb,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
"Karvo Companies, Inc.",https://www.karvocompanies.com/,,"Stow, Ohio",,"Karvo Companies, Inc. is a dynamic, growth oriented general contractor specializing in heavy highway construction.  Since its establishment in 1989, this family-owned construction company has been improving highways and communities through proficient leadership, emphasis on safety, integrity and career opportunities for over 300 skilled employees.  Karvo Companies is commitment to excellence and ingenuity has earned the company the distinction of one of Ohio's leaders in the construction industry.",201-500 employees,,,470 Gb,"Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
US Dermatology Partners,https://usdermatologypartners.com,Healthcare,"Dallas, Texas",United States,"U.S. Dermatology Partners is one of the premier dermatology practices in the country, caring for over two million patients each year. With over 100 locations across eight states that span large metroplexes and rural, underserved communities, they provide the benefits of private, personalized levels of care paired with a network of coordinated, specialized dermatology physicians. U.S. Dermatology Partners is fervently focused on providing the highest level of compassionate and comprehensive patient-first care, making it seamless for all people to connect with dermatologists and national leaders in areas such as clinical research, psoriasis, and Mohs surgery, and gain access to state-of-the-art dermatological treatments, surgical and cosmetic dermatology. To learn more, visit usdermatologypartners.com.",,,,300 Gb,"PII, Employee and HR data",BianLian
PBC Companies,https://pbccompanies.com/,Design,California,United States,Providing M&A guidance and management services to the Financial Services industry,11-50 employees,,,300 Gb,,BianLian
Mohawk Valley Cardiology PC,https://mohawkvalleycardiologypc.com/,Healthcare,"Utica, New York",United States,"We are personal cardiac care providers serving the greater Mohawk Valley Area, residing in the heart of Utica and affiliated with St. Josephs Hospital . ",28 employees,,,80 Gb,"PII, Healthcare Data",BianLian
Accelon Technologies Private,https://accelontech.com,IT,"Pune, MH",India,"Started in 2005 & based in Pune, Accelon Technologies is a committed team of SAP ERP consultants with one goal – enabling intelligent automation of our clients businesses. We provide 360-degree services for SAP ERP solutions from initial consultation, planning, implementation, add-ons, and beyond. Having worked with 150+ customers across various verticals and industries, we specialize in SAP ERP solutions for Micro, Small, & Medium businesses. With numerous successful SAP Business One implementations, we are one of the best ERP & Business Intelligence services providers and a proud SAP Gold Partner in India.


EXPERIENCE
• Over 15 years of SAP ERP Implementations. • 150+ Successful Implementations • 9000+ Users Supported. • 15+ Industries Served. • Successful Implementations in 5+ Global Regions.

EXPERTISE
• SAP Gold Partner • SAP Business One • SAP Business One Version for HANA. Add-ons Development for SAP Business One.

SUPPORT
• 8+ Offices across India • 70+ Active Employees • Dedicated Support Teams • Consultancy, Training, Reporting, and Maintenance. • Call, Online, and On-site support.

INNOVATION
• 10+ Apps and Add-ons for SAP B1 • In-house developers, designers, data architects, and project managers. • Feature-rich add-ons for Fashion, Apparel, Footwear, and Retail Industries.",51-200 employees,,,480 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Texas Alcohol & Drug Testing Service,https://tadts.net,,"Houston, Texas",,"The mission of Texas Alcohol and Drug Testing Service, Inc., is to provide a confidential, cost-effective, high quality testing program geared toward everyone from the individual to the large corporation, while striving for integrity in testing.  We are the only choice when dependability counts.

Established in 1994, Texas Alcohol and Drug Testing Service (TADTS) is an industry leader in helping companies establish a Drug-Free Workplace.

That experience includes federally mandated testing for the transportation, marine, aviation, pipeline and oil and gas industries.

Complying with federal and state rules and regulations related to testing requires a lot of time and effort. Many companies are not equipped to deal with ever-changing federal regulations and state legislation affecting the testing industry. Companies can take advantage of Third Party Administration (TPA) services provided by TADTS. Internal programs offered by a company can be charged with discriminative administration, unfair treatment, and wrongful discharge. Contracting with the experts at TADTS is a simple decision that can protect your business. 

TADTS collectors are certified by the Drug and Alcohol Testing Industry Association (DATIA), and are also certified Breath Alcohol Technicians (BAT). TADTS collectors have received 12 hours of specialized training for specimen collection techniques in compliance with federal testing regulations.",51-200 employees,,,,,BianLian
Playa Vista Job Opportunities and Business Services,https://pvjobs.org,Recruitment,California,United States,,25 employees,,,950 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Thompson Davis & Co,https://www.thompsondavis.com,Finance,"Richmond, VA",United States,"Founded in  2002, Thompson Davis & Co. is an independent private asset manager providing individuals, businesses, foundations and retirement plans with disciplined and uniquely focused growth and value-driven investment management.  Our research methodology forms the foundation of everything we do.  Our discipline is the basis of our ability to properly manage the assets under our care and the source of our competitive advantage.  Our paramount goal is to use our experience and knowledge for the benefit of our clients.  We trust our disciplined and focused investment process enough to follow it not only for our clients but also for ourselves.  By aligning our interests with our clients, we strive to create a level of trust building and solid long-term relationships.  This is self-explanatory, but worth repeating - our success depends on yours.",11-50 employees,,,200 Gb,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Island Transportation Corp.,https://islandtrans.com,Transportation,"West Babylon, New York",United States,"Island Transportation Corp., founded in 1952 with one customer and two used tractor-trailers, has grown to one of the largest bulk carriers in the United States servicing the petroleum industry for over 50 years. Today, we are privileged to serve a majority of the leading oil companies in the northeast, hauling billions of gallons of product to their facilities each year. This is achieved by a modern fleet of tractors and trailers and the best trained professional truck drivers in the industry. We presently employ over 300 people in the tri-state area, the cornerstone of our business. Our growth over the years has been the result of dedication, loyalty and the hard work of our people. Island Transportation's Corporate Headquarters is located at 299 Edison Avenue, West Babylon, New York, with our main operating facilities in the following areas:

* West Babylon, New York
* Booklyn, New York
* Port Reading, New Jersey 
* North Haven, Connecticut",201-500 employees,,,~300 Gb,"PII, Employee and HR data",BianLian
Southwest Family Medicine Associates,https://southwestfamilymed.com,Healthcare,"Dallas, Texas",United States,"SFMA is a medical home recognized by the National Committee for Quality Assurance (NCQA). SFMA emphasizes on care coordination and long-term healing relationships. Through proactive management of patients with chronic diseases, open scheduling, extended hours and communication between patients, physicians and staff, patients are expected to experience an enhanced care in SFMA.",11-50 employees,,,400 Gb,"PII, Employee and HR data, Databases, Sensitive Communication",BianLian
"Florence Cement Company, Inc.",https://www.florencecement.com,Contrating,"Shelby Township, Michigan",United States,The Florence Cement Company is a local contractor performing public and private road construction in Southeastern Michigan.,51-200 employees,,,500 Gb,"PII, Employee and HR data, Sensitive Communication",BianLian
Augusta Orthopedic,https://ortho-augusta.com,Healthcare,"Thomson, Georgia",United States,"Augusta Orthopedic & Sports Medicine Specialists is a comprehensive medical and surgical practice devoted to the care of bone, joint, ligament, nerve and muscle problems. Over the past twenty years, we have grown to encompass seven highly skilled surgeons and provide state of the art facilities housing digital x-rays, MRIs and physical therapy services.",11-50 employees,,,~2.5 TB,"PII, Sensitive Communication, Healthcare Data",BianLian
Insula Group,http://insulagroup.com.au,IT,"OAKLEIGH, VIC",Australia,"Insula Group is a Melbourne-based software and consultancy firm which has been providing IT solutions to many industries since 1994. Drawing on the success of many software development ventures, Insula Group identified the need to construct a range of purpose-built solutions to better enhance business efficiency, and deliver process improvement to businesses.

The growing need to improve business practices in the construction and finance industries led Insula Group to develop a number of high quality client and work flow management software solutions for residential construction builders and finance brokers.

www.frameworkecm.com.au
www.thefinanceshop.net.au 
www.onsiteeye.com.au
 
Our software solutions are now used nationally by some of Australia's largest companies, with several of our systems in operation internationally over multiple countries.

Insula Group understands the importance of software meeting the specific needs of industry and our clients. We actively engage in both custom software development and customisation of core software products, and are specialists in systems integration. Additionally, the Insula team is continually looking for new opportunities where software support can improve a client's business experience.

Contact us to see how our products and services can benefit your business.",11-50 employees,,,400 Gb,"Customer and Client Data, Employee and HR data",BianLian
Transit Mutual Insurance Corporation,https://transitmutual.com,Insurance,"APPLETON, Wisconsin",United States,"Transit Mutual Insurance Corporation of Wisconsin is a not-for-profit mutual insurance corporation.  Located in Appleton, Wisconsin, we insure public transit vehicles owned by municipalities located throughout Wisconsin. ",2-10 employees,,,~400 Gb,"PII, Employee and HR data",BianLian
"Legend Properties, Inc.",https://lpre.com/,Real Estate,"Philadelphia, Pennsylvania",United States,"Legend Properties, Inc. is a full-service commercial real estate and brokerage firm serving eastern and central Pennsylvania, New Jersey and Delaware with more than 15 agents based in two offices. An affiliated company, Legend Florida, LLC, serves southeast Florida. Since 1990, Legend Properties has offered expert retail leasing, tenant representation, and investment sales services, as well as development consulting and transactional services for commercial land and buildings. The company also provides property management services through an affiliate, Legend Management Services, LLC. Legend Properties leads commercial real estate brokerage market share in the greater Philadelphia region.",,,,~400 Gb,"PII, Employee and HR data",BianLian
MEL aviation Ltd,,,"Crawley , West Sussex",,"Welcome!

MEL Aviation Components Ltd, specialises in the supply and management of rotable components for the commercial aviation market, with a particular focus and expertise in the support of Boeing, Airbus and Regional fleets. 
 
Our facility is located in Crawley next to London Gatwick, 35 minutes to London Heathrow airport. 

MEL Components provides nose to tail support solutions through its 24/7 AOG Desk to customers around the globe, 365 days a year. 

This family focused company is led by a reliable and committed team with considerable experience in the aviation industry, including component support services and MRO activities.
 
We understand and pride ourselves on offering a competitive, passionate and personal service to all customers, understanding each and everyones needs from assisting the everyday operations through to understanding and solving crucial AOGs. Aviation is constantly on the move so therefore we understand the flexibility that is needed to create an environment where customers choose to comeback time and time again.  
 
MEL Aviation Components are part of the prestigious MEL Group, headed up by our repair facility that specialise in the repair and overhaul of hazardous material across military and commercial platforms. This allows MEL Components to also provide an aftermarket solution utilising the expertise of our MRO business, therefore being able to offer competitive pricing and turnaround times on outright sales/exchange of hazardous material. In addition to our own in house capabilities we also offer a 3rd party repair solution. This service which we provide offers our customers a one stop repair solution cutting down the management of repairs for each customer. 
 
MEL Aviation Components Ltd hold the following certification:
 
ISO 9001 / ASA",11-50 employees,,,,,BianLian
Longview Oral & Maxillofacial Surgery,https://longviewoms.com,Dentistry,"Longview, Washington",United States,"OUR MISSION IS TO HELP PATIENTS LIVE HEALTHIER LIVES. WE PROVIDE A CARING, COMPASSIONATE ENVIRONMENT WHERE YOUR COMFORT AND HEALTH IS OF PRIMARY IMPORTANCE.",11-50 employees,,,2.5 TB,"PII, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Dordt University,https://dordt.edu,,Iowa,,"Associated with the Christian Reformed Church, Dordt College was founded in 1955 in Sioux Center, Iowa and welcomes all students who are interested in a biblical, Christ-centered education. Today, as an accredited Christian liberal arts university, we're on a mission to cultivate the next generation of servant-leaders, who will saturate their relationships and communities with the Gospel of Jesus Christ.",201-500 employees,,,,,BianLian
ASI,https://asipartner.com,IT,"Fremont, CA",United States,"Founded in 1987, ASI Corp. is a national distributor of IT hardware and software products, maintaining a professional staff of nearly 500 employees and 9 sales/warehouse locations in the US and Canada. For over 30 years, ASI has continually taken a lead role in setting new standards in the distribution of IT solutions and value-add services. Today, ASI carries over 150 product lines and has over 10,000 of the most in-demand products.",201-500 employees,,,3.3 TB,,BianLian
"Wind Composite Services Group, LLC",https://windcomservices.com,"Electricity
Oil
Gas","Houston, Texas",United States,"WindCom provides wind blade services in North America and is the sister company with AdCom in South America.  Services include inspection, repairs and preventive maintenance for blades of any type.  Wind Com differentiates itself from other blade service companies with:
•         e-reporting system- The techs upload their daily documentation & photos.  Engineering reviews following our QA system At the end, the customer has access to the reports with a click of the mouse. 
•         The most access methods available- Depending on the job: rope access, small work cage, and two different types of 360 platforms which allow for access on all sides of the blade at once.  These are good for 13m/s winds which keeps us working
•        Work Instructions-Every blade repair has work instructions issued by engineering.  If changes need to be made, only engineering can make the changes and approvals.
•         Written rigging plan for each turbine-  If we encounter a new turbine, our EHS manager will visit the site before the crew arrives and develop the work instructions for rigging.  Again the techs do not decide on the rigging method. 
•         Training/certifications-All technicians are trained in house to comply not only with industry standards of safety but WindCom's more thorough courses.  After safety training hands on composite training is orchestrated by the engineering department.  The techs are the best trained in the industry.  Opportunities for advancement are available with additional training and experience..",51-200 employees,,,412 GB,"Employee and HR data, Sensitive Communication",BianLian
Payne & Jones,,,"Overland Park, Kansas",,"Payne & Jones provides a full range of business and legal services to its clients.  We are committed to providing value to our clients by delivering the highest quality legal services.  Our firm emphasizes prompt, efficient, and effective response to our clients changing day-to-day needs. We are confident this more practical approach is unique in the legal field and is a primary reason we look forward to celebrating the firms 100th year serving individuals and businesses across the region.

The guiding principle of Payne & Jones approach is flexibility.  This enables us to quickly marshal the legal talent and resources necessary to confront any situation in the interest of our clients.  This proven approach allows our law firm to allocate those resources, and only those resources, necessary for the task.  This process allows more effective client representation, personal interaction, exceptional service, and assures that the cost of legal services is minimized through individualized client representation.  

Our commitment to providing quality legal services is also reflected in the demonstrated leadership and exceptional academic achievement of our attorneys. ",11-50 employees,,,,,BianLian
National Publisher Services LLC,https://npsmediagroup.com,Media,"Shelton, CT",United States,NPS Media Group provides a broad range of print and digital solutions to help media companies succeed in an ever more complex and challenging marketplace.,2-10 employees,,,715 GB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
Elite Limousine Plus Inc,https://eliteny.com,Transportation,"Long Island City, New York",United States,"Elite Limousine is a global chauffeur service based in Long Island City, NY with operations in over 600 cities across 60 countries. With one of the largest fleets of late model vehicles and core of professional chauffeurs we provide reliable and superior service, second to none. Our Customer Service Team is available to answer all queries 24/7 at (1-888-999-LIMO). We offer fixed, flat, all-inclusive rates for both personal and business rides - we've been trusted by number Fortune 500 companies for more than 3 decades. Book online, with our call center, or through our IOS/Android apps.",51-200 employees,,,1.8 TB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
Critchfield & Johnston,,Legal,"Wooster, OH",,"Critchfield, Critchfield & Johnston, Ltd., through our attorneys and staff, is dedicated to providing superior solutions for our clients. We accomplish this by consistently delivering quality legal services, in a timely manner, at a fair value, with the highest ethical standards.",51-200 employees,,,,,BianLian
Clinica de Salud del Valle de Salinas,,Healthcare,California,,"Clinica de Salud del Valle de Salinas (CSVS) is dedicated to providing access to quality comprehensive health care to men, women and children with an emphasis on farm worker families and the agricultural community. ",300 employees,,,,,BianLian
Nikolaus & Hohenadel,https://n-hlaw.com,Legal,"Lancaster, PA",,"Nikolaus & Hohenadel, LLP is a mid-size Lancaster County law firm serving individuals, businesses and families throughout South Central Pennsylvania. The firm began as a two person partnership between Donald Nikolaus and Jack Hohenadel in 1972 and has grown to its present size with offices located in Lancaster, Columbia, Elizabethtown and Quarryville, Pennsylvania.

Our firms mission is to provide quality legal services efficiently and in a timely manner to our clients.",11-50 employees,,,,,BianLian
MAH Machine,,,"Cicero, IL",,"MAH Machine Co., Inc. is headquartered in Cicero, Illinois, with over 125,000 square feet. MAH Machine is a privately held machine shop specializing in the graphics arts industry. 

MAH has new state-of-the-art equipment including: CNC Boring Mills, CNC Turning and Milling machines, Gear Cutting, Manual Milling, Manual Turning, Welding, Grinding, Balancing and other miscellaneous machines that can handle a vast majority of projects. For that reason, MAH can be very competitive with large capacity work; but, can also do prototype or one-of-a-kind work. 

The company goal is to ship your product on-time and supply you with the highest quality for a reasonable price.",51-200 employees,,,227 GB,"Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
Texas Retina Associates,https://texasretina.com,Healthcare,"Dallas, TX",United States,"Established in Dallas in 1966, Texas Retina Associates, with 15 offices throughout the state, is North Texas' largest, most experienced ophthalmology practice focused specifically on the diagnosis and management of diseases of the retina and vitreous, including macular degeneration and diabetic retinopathy.  Training at some of the country's top medical institutions, all 16 of our physicians completed fellowships in retina care, and many have sub-specialized further to treat even the  most challenging retina conditions like uveitis and ocular oncology.  Texas Retina Associates also actively participates in clinical research, including more than 100 national clinical trails over the past 25+ years, to bring the latest sight-saving treatments to our patients.  ",51-200 employees,,,,,BianLian
