Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
KINEMATICA.CH,http://www.kinematica.ch/,Manufacturing,"Malters, Luzern",Switzerland,"From our inception in 1962, innovation has been the driving force behind Kinematica's remarkable journey. Our roots trace back to the visionary mind of Professor Willems, whose groundbreaking rotor/stator invention revolutionized the industry. Since then, Kinematica has elevated this technique to new heights, crafting tailored and engineered solutions that cater to the most intricate demands of various applications.

Our dedication to pushing the boundaries of technology remains unshaken, resulting in the establishment of a de facto standard across multiple industries. Today, our products serve as the cornerstone of quality and performance, benefiting thousands of end users across the globe.  At Kinematica, we are guided by the mantra of ""Homogenizing Perfected."" This core principle fuels our every endeavor as we continually refine our ideas to match evolving industry landscapes. As we step into the future, our focus expands beyond boundaries, embracing the seamless integration of technologies in a ""connected world."" In this realm, we stand unwavering in our commitment to delivering uncompromised quality and performance, a promise we hold sacred to our customers.

We invite you to join us on this exhilarating journey of innovation and excellence. Together, we will create a future filled with mutual success, where the spirit of unwavering commitment binds us in our pursuit of perfection.
Stay tuned as we continue to shape the course of industries, redefine possibilities, and create a brighter tomorrow.",11-50 employees,"AUG 15, 2024",13893,2,['Intellectual Property'],Qilin
BRIGHTWIRES.COM.SA,http://www.brightwires.com.sa/,International Trade and Development,"Riyadh, Riyadh",Saudi Arabia,"Over 30 years ago, Bright wires was founded in 1989, it has grown up from providing simple business Electrical & Power systems, to offering value-driven Telecommunication and Electrical products and services, It provides wide range of managed services including Fiber Optic Splicing and Testing .From a Data Patch Cord to the Design & Installation of an entire Telecommunication & Electrical Solutions and Network infrastructure cabling.",51-200 employees,"AUG 15, 2024",13650,43,"['Financial Data', 'Utility and Infrastructure Data']",Qilin
PATTERSON HEALTH CENTER,http://https//pattersonhc.org/,Healthcare,"Anthony, ks",United States,PATTERSON HEALTH CENTER INC is a hospital & health care company based out of Harper County KS,51-200 employees,"AUG 14, 2024",13734,270,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Healthcare Data']",Qilin
CODACINC.ORG,http://www.codacinc.org/,Healthcare,"Cranston, RI",United States,"CODAC, a non-profit organization based in Rhode Island, has provided treatment, recovery and prevention services to individuals, families and communities for over 40 years.  With seven convenient locations, CODAC is uniquely positioned to provide a wide range of outpatient recovery, treatment and prevention services to adolescents and adults struggling with the challenges of substance abuse, gambling disorders, tobacco use, behavioral healthcare issues, and other addictive or abusive behaviors.",201-500 employees,"AUG 7, 2024",8621,9,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
WWW.SRMEDICALCENTER.ORG,http://www.srmedicalcenter.org/,Healthcare,"St Thomas, US Virgin Islands",United States,"Schneider Regional Medical Center includes the Roy Lester Schneider Hospital, Myrah Keating Smith Community Health Center, and the Charlotte Kimelman Cancer Institute function as one integrated health system dedicated to providing comprehensive and high-quality care to the residents of the Virgin Islands and visitors of all ages, faiths, and races.",201-500 employees,"JUL 30, 2024",1322,293,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Healthcare Data']",Qilin
"NEW TSI HOLDINGS, NYSC",http:// www.newyorksportsclubs.com,Fitness Services,"NY, New York",United States,"A key player in the fitness and exercise space throughout the United States. We operate over 65 clubs in 7 states (+ 3 locations in Switzerland) and service almost 300,000 members who come to us to meet their fitness goals. Those members know us as New York Sports Clubs, Boston Sports Clubs, Philadelphia Sports Clubs, Washington Sports Clubs, Lucille Roberts, and Around the Clock Fitness.

We are constantly refreshing our initiatives and programs  to ensure we provide the best fitness and gym experience for every individual who step foot inside our clubs. This includes experimenting with innovative studio-quality programming, developing high intensity small group training classes, partnering with the new athletic-based groups to offer practical sports interval training and investing in our fitness equipment for those seeking cardio and strength training experiences.  We also offer group exercise programs, racquet sports, swimming facilities and Sports Club for Kids. 

Our passion is to not only deliver an exceptional experience to enable our members to achieve their goals but to our team as well. We are always interested to expand so we can build a stronger town. This is our Town and we would love for you to be a part of it.","1,001-5,000 employees","JUL 29, 2024",4440,168,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
CCJ.EDU.LB,http://www.ccj.edu.lb/,Education ,Juniyah,Lebanon,School,"501-1,000 employees","JUL 28, 2024",6140,8,"['Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
NETWORK COMMUNICATIONS GROUP,http://www.netcomms.co.uk/,Telecommunications,"Longview, TX",United States,"Fast â¢ Reliable â¢ Innovative These words aptly describe Network Communicationsâ leading edge voice, data and networking services, but they also represent the foundation of our company, from the high level of our local customer service and technical expertise to the honesty and integrity of our sales consultants, staff and leadership. It is our goal to earn your trust and to meet or exceed your expectations in every way, from first contact and beyond.

Network Communications has spent decades developing, building and expanding our network and services to better serve your needs at the most cost-effective rates possible. We are also committed to investing in the best people, advanced infrastructure and advanced technology, and since we are self-funded, we have the freedom to do whatâs best for our customers rather than whatâs best for an investment banking firm.

At Network Communications, we remain firmly grounded in the same values we started our company with nearly 30 years ago, and in the next 30 years, you can count on us to continue to deliver uncompromising service at the speed of light.

 ",51-200 employees,"JUL 27, 2024",16577,210,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
AYURCAN,http:// www.ayurcann.com,Healthcare,"Pickering, ON",Canada,"The public company for a Canadian LP providing superior production services in Extraction, Processing, Packaging and Distribution. We have the agility, innovation and competitiveness to build lasting relationships with industry partners and consumers.
https://linktr.ee/Ayurcann",11-50 employees,"JUL 26, 2024",18420,5,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
SIMPLE-SOLUTION-SYSTEMS,http://www.simsys.sg/,IT Services a,"Singapore, Singapore",Singapore,"Simple Solution Systems or SIMSYS as we call ourselves is a Digital Transformation Solution Provider seeking to find new and innovative solutions to digitally transform our client to success in the online generation. We specialize in User Experience Design consultancy, Enterprise Application Solutions and Mobile Application Development for Small Businesses to Enterprise Corporation that are deployed in N-Tier Architecture Environments.

Todayâs IT solutions are not only complex and far from user friendly, they are generally created with the principle of the user needing to know the system, rather than the system being tailored to the user. Design refers to how an IT solution is laid out in a usable and friendly way. It is important to recognize how users navigate through applications so as to tune to the user experience. 

Many of todayâs IT solutions are designed in a System-Centric fashion whereby developed systems require the users to understand proprietary complexities, rather than being based on User-Centric designs. We strongly believe that an IT solutionâs success hinges on your ability to use it â a systemâs design must understand the requirements of users.

The âvalue addâ in choosing SIMSYS is the rich experience in delivering on time quality Internet Projects to our clients. SIMSYS has designed, developed and delivered over 100 projects ranging from Technically Complex Solutions with Interfaces to a wide range of systems (Government and Private Sector), to Content and Document Intense Projects (with over 2500 web pages and millions of documents), using our Enterprise Web Content Management Systems, Document Management Systems and Enterprise Resource Management Solutions along with Mobile Solutions.  ",11-50 employees,"JUL 24, 2024",19433,1590,"['Customer and Client Data', 'Databases']",Qilin
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,Healthcare,"Woburn, Massachusetts",United States,"Next Step Healthcare provides nursing and rehab facilities in Massachusetts for families and individuals who need short or long term options in the face of a variety of health challenges.

We operate 16 locations with integrity, consistency, and the complete understanding that your loved one is depending on us for their care.

A personalized, authentic and worry-free solution in an era of overwhelming options.  

Welcome to the next step in - your heathcare, your career and where you call home.","1,001-5,000 employees","JUL 24, 2024",19465,96,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Healthcare Data']",Qilin
EHS PARTNERSHIPS,http://www.ehsp.com/,Business Services,"Calgary, Alberta",Canada,"Environmental and Occupational Health and Safety, Industrial Hygiene, Project Management, Asbestos, Mould, IAQ, Auditing, Machine Guarding - Calgary, Edmonton, Winnipeg, Ottawa",11-50 employees,"JUL 23, 2024",17904,51,['Customer and Client Data'],Qilin
ON365.CO.UK,http:// www.on365.co.uk,IT Services ,"Loughborough, Leicestershire",United Kingdom,"on365 is a specialist provider of critical physical IT infrastructure and utility services for public sector, SME and corporate clients across the UK and Europe. on365 is a leading authorised Schneider Electric partner in the UK with the highest partner accreditations available.

We're Schneider Electric's biggest service partner with the highest partner accreditations for their products, solutions and services providing full quality assurance for your entire infrastructure.

on365 is totally focused on performance optimisation of the IT environment, providing critical power and cooling services not just for the datacentre but the entire critical physical infrastructure lifecycle of your business.

At on365 we understand the real needs of IT Managers and the true criticality of your IT, networking and communications deliverables as well as operational expectations. We can provide sound, practical advice to help you proactively and efficiently manage across the physical infrastructure right through to chosen IT hardware.",11-50 employees,"JUL 18, 2024",3160,20,"['PII', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,Education ,Uherske Hradiste,Czech Republic,"We opened the first class with Montessori pedagogy at Za Alej Elementary School in 2013, when 16 first-graders started. Since then, the number of children, classrooms and the collective of teaching staff have grown. In the 2023/2024 school year, 100 children attend the classes, who work with 5 teachers and 3 teaching assistants. You can follow the events in the individual classes on the pages of the MA, MB, MC, MD and ME classes.",,"JUL 17, 2024",21260,197,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
PREFEITURA DO JABOATÃO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,Utilities,"JaboatÃ£o dos Guararapes, Pernambuco",Brasil,"JaboatÃ£o dos Guararapes Ã© um municÃ­pio brasileiro do estado de Pernambuco, RegiÃ£o Nordeste do paÃ­s. EstÃ¡ localizado na RegiÃ£o Metropolitana do Recife, situando-se a sul da capital do estado, da qual dista cerca de 18 km. Ocupa uma Ã¡rea de 258,7 kmÂ², estando 23,6 kmÂ² formando o perÃ­metro urbano e os 233,7 kmÂ² restantes formando a zona rural do municÃ­pio. Segundo estimativa do Instituto Brasileiro de Geografia e EstatÃ­stica (IBGE), em 2018 sua populaÃ§Ã£o era de 697 636 habitantes, sendo, desta forma, o segundo municÃ­pio mais populoso do estado,alÃ©m disso, a cidade Ã© o maior municÃ­pio sem ser capital no norte-nordeste, sendo tambÃ©m, maior fora do eixo Rio-SÃ£o Paulo. (Fonte: WikipÃ©dia)","10,001+ employees","JUL 16, 2024",3049,1380,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
KMLG,http://www.kmlg.com/,Manufacturing,"Rawalpindi, Punjab",India,"Welcome to Kohinoor Textile Mills Limited (KTML), where tradition meets innovation to shape the future of textiles in Pakistan and beyond. Since our inception in 1953, KTML has been at the forefront of the industry, pioneering new standards of excellence and sustainability. It is also listed on all three national stock exchanges of Pakistan.

From our roots as a spinning and weaving project with 25,000 spindles and 600 looms, KTML has evolved into a fully integrated textile powerhouse, with state-of-the-art capabilities spanning spinning, weaving, dyeing, printing, and stitching; enabling us to produce a wide range of products, including yarn, greige fabric, dyed and printed fabric, and home textile products such as bed linen, quilting, embroidery, and curtains. Our commitment to quality and innovation has enabled us to build a diverse customer base, serving both local and international markets across Asia, Europe, the USA, and Australia.

The Kohinoor Maple Leaf Group (KMLG) was formed following the division of the Saigol Group of Companies and has grown to be a prominent player in Pakistan's textile and cement industries. KMLG includes Kohinoor Textile Mills Limited (KTML),  Maple Leaf Cement Factory Limited (MLCF), and Maple Leaf Capital.

At KTML, we believe in fostering a culture of continuous learning and development, empowering our employees to realize their full potential and drive innovation across our operations. With a focus on environmental stewardship, community engagement, and ethical business practices, we are dedicated to creating value for all our stakeholders while shaping a brighter, more sustainable future for generations to come. 

Kohinoor Textile Mills Limited is dedicatedly committed to upholding the highest standards of excellence, innovation, and corporate responsibility, we invite you to join us on LinkedIn as we continue our journey towards a future shaped by innovation, sustainability, and enduring success.","5,001-10,000 employees","JUL 15, 2024",15729,145,"['Financial Data', 'PII', 'Employee and HR data', 'Databases']",Qilin
EPS.RS,http://www.eps.rs/, Utilities,"Makenzijeva, Belgrade",Serbia,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.","10,000","JUL 5, 2024",23070,212,"['Customer and Client Data', 'Databases', 'Utility and Infrastructure Data']",Qilin
EASCHANGESYSTEMS,http://www.easchangesystems.com/,Manufacturing,Renswoude,Nederland,"We help you produce just-in-time with higher speed and more flexibility. 
Thanks to EAS change systems, the clamping and release of molds and dies is done in minutes instead of hours. Our high quality mono- and multi couplers serve a diversity of branches.

EAS offers quick clamping and quick changing systems for plastic injection molding machines (QMC) and metal stamping presses (QDC), as well as multi coupler solutions. The company also offers consulting and engineering expertise to ensure maximum machine productivity. 
Designed and built for integration into existing as well as new equipment (OEM), our solutions include:
â¢ Adaptive clamping systems
â¢ Ejector couplers
â¢ Mono & multi coupler systems
â¢ Mold change tables & transportation vehicles
â¢ Inspection & mold tilting units
â¢ Die lifters
â¢ Pre-rollers
â¢ Project management
â¢ Application engineering
â¢ System installation
â¢ Service and maintenance
â¢ ROI calculations
 
The system solutions of EAS are sold directly to original equipment manufacturers (OEMs), specialized tool distributors, and end users. 

Our manufacturing, engineering and research & development operations are located in the Netherlands, France and China. Being a truly global enterprise, the company has a large sales and service presence on every continent thanks to dedicated partner companies and their local distributors.",51-200 employees,"JUL 5, 2024",22688,331,"['Legal Documents', 'Databases']",Qilin
THE WACKS LAW GROUP,"http://www,wackslaw.net/",Legal Services,New York,United States,The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clientsÕ issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York.Ê,,"JUL 5, 2024",22832,17,"['Customer and Client Data', 'Databases']",Qilin
MACCARINELLI.IT,http://www.maccarinelli.it/,Manufacturing,"Paitone, Lombardy",Italy,Maccarinelli Srl is a company that operates in the Motor Vehicles industry.,,"JUL 5, 2024",22249,33,"['Financial Data', 'Employee and HR data', 'Utility and Infrastructure Data']",Qilin
CASA SANTIVERI,http://www.santiveri.com/,Fitness Services,Barcelona,Spain,"En Santiveri llevamos desde 1885 apostando por promover una sociedad donde las personas se sientan mejor. Estos mÃ¡s de 135 aÃ±os de experiencia nos han ayudado a ofrecer soluciones saludables e innovadoras al alcance de todos.

En estos aÃ±os han cambiado muchas cosas, pero hay una que se mantiene: queremos ayudarte a que te sientas bien. Fieles a nuestro espÃ­ritu pionero, nos hemos renovado y adaptado para acercarnos todavÃ­a mÃ¡s a ti y a tus necesidades.

Y lo hemos hecho con valentÃ­a, reinventÃ¡ndonos siempre que ha sido necesario; con compromiso, seleccionando ingredientes y materias primas de la mejor calidad; con cuidado, sensibles a la diversidad de cualquier tipo; y con una visiÃ³n holÃ­stica, promoviendo un bienestar integral y una manera mÃ¡s sana de vivir.

En la actualidad, Santiveri  tiene:
â 3 centros de producciÃ³n: Barcelona, LÃ©rida y PeÃ±afiel (Valladolid).
â 141 puntos de venta directos
â Una distribuciÃ³n que llega a unos 7.000 puntos de venta ( 5.700  directos y 1.300 puntos de venta que servimos directamente a plataforma de distribuciÃ³n a supermercados)
â Una lista de productos cercana a las 1.000 referencias 
â Dos filiales en Italia y MÃ©xico 
â Una exportaciÃ³n que alcanza a mÃ¡s de 40 paÃ­ses.
â Una plantilla cercana a los 400 empleados.",201-500 employees,"JUL 5, 2024",21894,204,['Employee and HR data'],Qilin
ETATEAM.BE,http://www.etateam.be/,Financial Services,Brussels,Belgium,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,,"JUL 5, 2024",21238,15,"['Employee and HR data', 'Legal Documents']",Qilin
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,Manufacturing,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,"FGV Holdings Berhad is based in Malaysia and is one of the countryâs leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


Â© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","10,001+ employees","JUL 5, 2024",21679,291,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
MADERO,http://www.madero.ca/,Manufacturing,Saskatoon,Canada,"For more than 35 years MaderÃ³ has been a leading company in the sector of bathroom furniture.
The companyâs aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steelâ¦ 
MaderÃ³ use latest generation fittings and elements and selects the best suppliers from around the world. 
Maderoâs products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",51-200 employees,"JUL 5, 2024",20996,350,['unknown'],Qilin
BIG ISSUE GROUP,http://www.bigissue.com/,Media,"London, Greater London",United Kingdom,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.",51-200 employees,"JUL 5, 2024",20763,530,"['Financial Data', 'PII', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
WATERGATE,http://www.thewatergatehotel.com/,Manufacturing,"London, London",United States,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.",11-50 employees,"JUL 5, 2024",20753,289,['Customer and Client Data'],Qilin
MCS,http://www.mitchellcountychamber.org/,Membership Organizations,North Carolina,United States,"The Mitchell County Chamber of Commerce is the areaÕs largest business organization and has served the Mitchell County area for more than 50 years. A lot has changed over the last fifty years and while we still value the honest and hardworking community we live in, we understand that businesses and organizations just donÕt operate in the same world as they used to. In response we are developing new ways of defining the business community, connecting our member businesses through new networks and encouraging a spirit of renewal in our entrepreneurial community. While we are moving forward with innovative ways of helping our members grow and succeed, we still base our core business models and relationships with our members on old-fashioned mountain values.",,"JUL 5, 2024",20174,53,['Customer and Client Data'],Qilin
DR CHARLES A EVANS,http://www.charlesevansmd.com/,Healthcare,"Lufkin, Texas",United States,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.",,"JUL 5, 2024",19722,3,"['Customer and Client Data', 'Healthcare Data']",Qilin
JEAN-NOUVEL,http://www.jeannouvel.com/,Retail,Paris,France,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvelâs experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJNâs diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",,"JUL 5, 2024",12628,314,['unknown'],Qilin
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,Legal Services,Georgia,United States,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. ",2-10 employees,"JUL 5, 2024",12450,89,"['Financial Data', 'Customer and Client Data']",Qilin
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,Real Estate,"Burnaby, BC",Canada,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.",2-10 employees,"JUL 5, 2024",10545,70,"['Employee and HR data', 'Legal Documents']",Qilin
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,Construction,Geilenkirchen,Germany,Tholen Gruppe is a company that operates in the Building Materials industry. ,,"JUL 5, 2024",9585,344,"['Customer and Client Data', 'Utility and Infrastructure Data']",Qilin
