Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Town Sports International,"A key player in the fitness and exercise space throughout the United States. We operate over 65 clubs in 7 states (+ 3 locations in Switzerland) and service almost 300,000 members who come to us to meet their fitness goals. Those members know us as New York Sports Clubs, Boston Sports Clubs, Philadelphia Sports Clubs, Washington Sports Clubs, Lucille Roberts, and Around the Clock Fitness.

We are constantly refreshing our initiatives and programs  to ensure we provide the best fitness and gym experience for every individual who step foot inside our clubs. This includes experimenting with innovative studio-quality programming, developing high intensity small group training classes, partnering with the new athletic-based groups to offer practical sports interval training and investing in our fitness equipment for those seeking cardio and strength training experiences.  We also offer group exercise programs, racquet sports, swimming facilities and Sports Club for Kids. 

Our passion is to not only deliver an exceptional experience to enable our members to achieve their goals but to our team as well. We are always interested to expand so we can build a stronger town. This is our Town and we would love for you to be a part of it.","NY, New York",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Ftsicareers%2Ecom%2F&urlhash=E0f0&trk=about_website,Wellness and Fitness Services,"1,001-5,000 employees","Fitness, Personal Training, Group Exercise, Retail, Health, Fun, Social Networking, Longevity, and Small Group Training",Privately Held,"15,193"
College Centrale Jounieh,School,Juniyah,Lebanon,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eccj%2Eedu%2Elb%2Fhome%2F&urlhash=IZr6&trk=about_website,Education Administration Programs,"501-1,000 employees",null,Educational,100
Network Communications,"Fast • Reliable • Innovative These words aptly describe Network Communications’ leading edge voice, data and networking services, but they also represent the foundation of our company, from the high level of our local customer service and technical expertise to the honesty and integrity of our sales consultants, staff and leadership. It is our goal to earn your trust and to meet or exceed your expectations in every way, from first contact and beyond.

Network Communications has spent decades developing, building and expanding our network and services to better serve your needs at the most cost-effective rates possible. We are also committed to investing in the best people, advanced infrastructure and advanced technology, and since we are self-funded, we have the freedom to do what’s best for our customers rather than what’s best for an investment banking firm.

At Network Communications, we remain firmly grounded in the same values we started our company with nearly 30 years ago, and in the next 30 years, you can count on us to continue to deliver uncompromising service at the speed of light.

 ","Longview, TX",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enetworkcommunications%2Ecom%2F&urlhash=SbfZ&trk=about_website,Telecommunications,51-200 employees,null,,163
Ayurcann Holdings Corp. (CSE:AYUR) (OTCQB: AYURF),"The public company for a Canadian LP providing superior production services in Extraction, Processing, Packaging and Distribution. We have the agility, innovation and competitiveness to build lasting relationships with industry partners and consumers.
https://linktr.ee/Ayurcann","Pickering, ON",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eayurcann%2Ecom&urlhash=48nc&trk=about_website,"Health, Wellness & Fitness",11-50 employees,"Processing, CBD, THC, Pharmaceuticals, Fullfilment, Logistics, Toll Services, White Label, Packaging, Medical, Brand Development, Partnerships, Cannabis, and Distribution",Public Company,"1,703"
Simple Solution Systems Pte Ltd (SIMSYS),"Simple Solution Systems or SIMSYS as we call ourselves is a Digital Transformation Solution Provider seeking to find new and innovative solutions to digitally transform our client to success in the online generation. We specialize in User Experience Design consultancy, Enterprise Application Solutions and Mobile Application Development for Small Businesses to Enterprise Corporation that are deployed in N-Tier Architecture Environments.

Today’s IT solutions are not only complex and far from user friendly, they are generally created with the principle of the user needing to know the system, rather than the system being tailored to the user. Design refers to how an IT solution is laid out in a usable and friendly way. It is important to recognize how users navigate through applications so as to tune to the user experience. 

Many of today’s IT solutions are designed in a System-Centric fashion whereby developed systems require the users to understand proprietary complexities, rather than being based on User-Centric designs. We strongly believe that an IT solution’s success hinges on your ability to use it – a system’s design must understand the requirements of users.

The “value add” in choosing SIMSYS is the rich experience in delivering on time quality Internet Projects to our clients. SIMSYS has designed, developed and delivered over 100 projects ranging from Technically Complex Solutions with Interfaces to a wide range of systems (Government and Private Sector), to Content and Document Intense Projects (with over 2500 web pages and millions of documents), using our Enterprise Web Content Management Systems, Document Management Systems and Enterprise Resource Management Solutions along with Mobile Solutions.  ","Singapore, Singapore",Singapore,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esimsys%2Esg&urlhash=aefg&trk=about_website,IT Services and IT Consulting,11-50 employees,"AGILE, Microsoft, AWS, and Cloud",Privately Held,67
Next Step Healthcare,"Next Step Healthcare provides nursing and rehab facilities in Massachusetts for families and individuals who need short or long term options in the face of a variety of health challenges.

We operate 16 locations with integrity, consistency, and the complete understanding that your loved one is depending on us for their care.

A personalized, authentic and worry-free solution in an era of overwhelming options.  

Welcome to the next step in - your heathcare, your career and where you call home.","Woburn, Massachusetts",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enextstephc%2Ecom&urlhash=WP6G&trk=about_website,Hospitals and Health Care,"1,001-5,000 employees","Long-term care, Short-term care, Speech therapy, Occupational Therapy, Rehabilitation, Respite, Huntingtons disease, Physical Therapy, Cardiac care, Trach care, Pulmonary care, Assisted Living, Brain Injury, behavioral health, and skilled nursing",Privately Held,"3,598"
EHS Partnerships Ltd.,"Environmental and Occupational Health and Safety, Industrial Hygiene, Project Management, Asbestos, Mould, IAQ, Auditing, Machine Guarding - Calgary, Edmonton, Winnipeg, Ottawa","Calgary, Alberta",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fehsp%2Ecom&urlhash=nKE4&trk=about_website,Environmental Services,11-50 employees,"Asbestos, Industrial Hygiene, Safety Auditing, Air Testing, Noise, Mold Mould, Hazardous Materials, Designated Substance Surveys, Occupational Health and Safety Management System, Machine Guarding, and Site Safety Advisory",Privately Held,"8,491"
on365,"on365 is a specialist provider of critical physical IT infrastructure and utility services for public sector, SME and corporate clients across the UK and Europe. on365 is a leading authorised Schneider Electric partner in the UK with the highest partner accreditations available.

We're Schneider Electric's biggest service partner with the highest partner accreditations for their products, solutions and services providing full quality assurance for your entire infrastructure.

on365 is totally focused on performance optimisation of the IT environment, providing critical power and cooling services not just for the datacentre but the entire critical physical infrastructure lifecycle of your business.

At on365 we understand the real needs of IT Managers and the true criticality of your IT, networking and communications deliverables as well as operational expectations. We can provide sound, practical advice to help you proactively and efficiently manage across the physical infrastructure right through to chosen IT hardware.","Loughborough, Leicestershire",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eon365%2Eco%2Euk%2F&urlhash=Lsub&trk=about_website,IT Services and IT Consulting,11-50 employees,"UPS Power, InRow Cooling, Hot Aisle Containment, Cold Aisle Containment, Containerised Datacentres, ISX Central, Data Centre Infrastructure, Generators, Cooling, Schneider Electric Elite Partner, Schneider Electric EcoXpert, Schneider Electric Authorised Service Associate, Schneider Electric Authorised Software Partner, Critical Physical Infrastructure, IT Critical Power and Cooling, Secure power and power infrastructure, and Data Centre Solutions",Privately Held,588
ZSZAALEJI.CZ,null,null,null,null,null,null,null,null,null
Prefeitura Municipal do Jaboatão dos Guararapes,"Jaboatão dos Guararapes é um município brasileiro do estado de Pernambuco, Região Nordeste do país. Está localizado na Região Metropolitana do Recife, situando-se a sul da capital do estado, da qual dista cerca de 18 km. Ocupa uma área de 258,7 km², estando 23,6 km² formando o perímetro urbano e os 233,7 km² restantes formando a zona rural do município. Segundo estimativa do Instituto Brasileiro de Geografia e Estatística (IBGE), em 2018 sua população era de 697 636 habitantes, sendo, desta forma, o segundo município mais populoso do estado,além disso, a cidade é o maior município sem ser capital no norte-nordeste, sendo também, maior fora do eixo Rio-São Paulo. (Fonte: Wikipédia)","Jaboatão dos Guararapes, Pernambuco",Brasil,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fjaboatao%2Epe%2Egov%2Ebr%2F&urlhash=4m_9&trk=about_website,Government Administration,"10,001+ employees",null,Government Agency,"2,077"
"Kohinoor Textile Mills Limited, Kohinoor Maple Leaf Group","Welcome to Kohinoor Textile Mills Limited (KTML), where tradition meets innovation to shape the future of textiles in Pakistan and beyond. Since our inception in 1953, KTML has been at the forefront of the industry, pioneering new standards of excellence and sustainability. It is also listed on all three national stock exchanges of Pakistan.

From our roots as a spinning and weaving project with 25,000 spindles and 600 looms, KTML has evolved into a fully integrated textile powerhouse, with state-of-the-art capabilities spanning spinning, weaving, dyeing, printing, and stitching; enabling us to produce a wide range of products, including yarn, greige fabric, dyed and printed fabric, and home textile products such as bed linen, quilting, embroidery, and curtains. Our commitment to quality and innovation has enabled us to build a diverse customer base, serving both local and international markets across Asia, Europe, the USA, and Australia.

The Kohinoor Maple Leaf Group (KMLG) was formed following the division of the Saigol Group of Companies and has grown to be a prominent player in Pakistan's textile and cement industries. KMLG includes Kohinoor Textile Mills Limited (KTML),  Maple Leaf Cement Factory Limited (MLCF), and Maple Leaf Capital.

At KTML, we believe in fostering a culture of continuous learning and development, empowering our employees to realize their full potential and drive innovation across our operations. With a focus on environmental stewardship, community engagement, and ethical business practices, we are dedicated to creating value for all our stakeholders while shaping a brighter, more sustainable future for generations to come. 

Kohinoor Textile Mills Limited is dedicatedly committed to upholding the highest standards of excellence, innovation, and corporate responsibility, we invite you to join us on LinkedIn as we continue our journey towards a future shaped by innovation, sustainability, and enduring success.","Rawalpindi, Punjab",India,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ekmlg%2Ecom&urlhash=PSbg&trk=about_website,Textile Manufacturing,"5,001-10,000 employees",null,Public Company,"50,910"
"Joint stock company ""Elektroprivreda Srbije""","Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",null,Serbia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeps%2Ers&urlhash=5G_C&trk=about_website, Utilities,"10,000",null,,5000
EAS change systems,"We help you produce just-in-time with higher speed and more flexibility. 
Thanks to EAS change systems, the clamping and release of molds and dies is done in minutes instead of hours. Our high quality mono- and multi couplers serve a diversity of branches.

EAS offers quick clamping and quick changing systems for plastic injection molding machines (QMC) and metal stamping presses (QDC), as well as multi coupler solutions. The company also offers consulting and engineering expertise to ensure maximum machine productivity. 
Designed and built for integration into existing as well as new equipment (OEM), our solutions include:
• Adaptive clamping systems
• Ejector couplers
• Mono & multi coupler systems
• Mold change tables & transportation vehicles
• Inspection & mold tilting units
• Die lifters
• Pre-rollers
• Project management
• Application engineering
• System installation
• Service and maintenance
• ROI calculations
 
The system solutions of EAS are sold directly to original equipment manufacturers (OEMs), specialized tool distributors, and end users. 

Our manufacturing, engineering and research & development operations are located in the Netherlands, France and China. Being a truly global enterprise, the company has a large sales and service presence on every continent thanks to dedicated partner companies and their local distributors.",Renswoude,Nederland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeaschangesystems%2Ecom&urlhash=8_lG&trk=about_website,Automation Machinery Manufacturing,51-200 employees,"total solutions in QMC and QDC, hydraulic and mechanical clamping systems, magnetic clamping systems, multicouplers, die handling systems, mold change tables and cars, QMC, QDC, and Tool change",Privately Held,1000
THE WACKS LAW GROUP,The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients� issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York.�,New York,United States,https://wackslaw.net,Law Practice,null,null,null,null
Maccarinelli Luciano E Fratelli S.r.l.,Maccarinelli Srl is a company that operates in the Motor Vehicles industry.,"Paitone, Lombardy",Italy,https://www.maccarinelli.it/,Manufacturing,null,null,null,null
Casa Santiveri,"En Santiveri llevamos desde 1885 apostando por promover una sociedad donde las personas se sientan mejor. Estos más de 135 años de experiencia nos han ayudado a ofrecer soluciones saludables e innovadoras al alcance de todos.

En estos años han cambiado muchas cosas, pero hay una que se mantiene: queremos ayudarte a que te sientas bien. Fieles a nuestro espíritu pionero, nos hemos renovado y adaptado para acercarnos todavía más a ti y a tus necesidades.

Y lo hemos hecho con valentía, reinventándonos siempre que ha sido necesario; con compromiso, seleccionando ingredientes y materias primas de la mejor calidad; con cuidado, sensibles a la diversidad de cualquier tipo; y con una visión holística, promoviendo un bienestar integral y una manera más sana de vivir.

En la actualidad, Santiveri  tiene:
● 3 centros de producción: Barcelona, Lérida y Peñafiel (Valladolid).
● 141 puntos de venta directos
● Una distribución que llega a unos 7.000 puntos de venta ( 5.700  directos y 1.300 puntos de venta que servimos directamente a plataforma de distribución a supermercados)
● Una lista de productos cercana a las 1.000 referencias 
● Dos filiales en Italia y México 
● Una exportación que alcanza a más de 40 países.
● Una plantilla cercana a los 400 empleados.",Barcelona,España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esantiveri%2Ees&urlhash=_mOT&trk=about_website,Wellness and Fitness Services,201-500 employees,"Alimentación sana, Productos biológicos, Complementos dietéticos, Cosmética natural, Productos Sin Gluten, and Bienestar natural",Privately Held,null
ETATEAM.BE,null,null,null,null,null,null,null,null,null
FGV Holdings Berhad,"FGV Holdings Berhad is based in Malaysia and is one of the country’s leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,http://www.fgvholdings.com/,Food and Beverage Manufacturing,"10,001+ employees","agribusiness, plantation, palm oil, and downstream",,"104,194"
"MADERO, S.A.","For more than 35 years Maderó has been a leading company in the sector of bathroom furniture.
The company’s aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steel… 
Maderó use latest generation fittings and elements and selects the best suppliers from around the world. 
Madero’s products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emadero%2Ees&urlhash=oW1c&trk=about_website,Furniture and Home Furnishings Manufacturing,51-200 employees,null,Privately Held,109
Big Issue,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.","London, Greater London",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ebigissue%2Ecom&urlhash=Ebsv&trk=about_website,Book and Periodical Publishing,51-200 employees,"Social enterprise, Publishing, Social investment, Fundraising, and Brokerage services",,"10,000"
Watergate,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.","London, London",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwatergate%2Eai%2F&urlhash=88bB&trk=about_website,Climate Technology Product Manufacturing,11-50 employees,null,Privately Held,"1,251"
MCS Group,null,null,null,null,null,null,null,null,null
DR CHARLES A EVANS,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.","Lufkin, Texas",United States,https://www.charlesevansmd.com/#,"Health, Wellness & Fitness",null,null,null,null
Ateliers Jean Nouvel,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvel’s experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJN’s diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ejeannouvel%2Ecom&urlhash=vKmK&trk=about_website,,,,,null
"The Weinstein Firm, LLC.",null,null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fweinsteinwin%2Ecom%2F&urlhash=3Whm&trk=about_website,Law Practice,2-10 employees,null,Partnership,null
W.P.J. McCarthy & Company,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.","Burnaby, BC",Canada,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwpjmccarthy%2Ecom%2F&urlhash=QqUi&trk=about_website,Leasing Non-residential Real Estate,2-10 employees,null,Privately Held,30
THOLEN BUILDING TECHNOLOGY GROUP,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Ftholen-gruppe%2Ede&urlhash=LS1N&trk=about_website,Construction,null,null,null,null
