CompanyName,Website,Industry,Country,Company Description,DateVictimised,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Harvey Construction,www.harveyconst.com,Contruction, United States,Harvey Construction Co Inc is a company that operates in the Construction industry.,28/6/24,18328,10,"['PII', 'Customer and Client Data', 'Financial Data']",Play
TPI,www.tpicorp.com,Manufacturing, United States,"TPI Corporation is a U.S. based privately held manufacturer that offers heaters, fans, lights, controls, and process heat. The company is currently headquartered in Johnson City, TN.",28/6/24,18315,839,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Shinnick & Ryan,www.srfirms.com,Legal Services, United States,The attorneys and staff at Shinnick & Ryan LLP have dedicated their careers to resolution of construction and design deficiency cases on behalf ofhomeowners.,18/6/24,20444,632,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Chroma Color,www.chromacolors.com,Manufacturing, United States,Chroma Color Corporation is a specialty color and additive concentrate supplier serving the global plastics marketplace.,18/6/24,20452,168,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Peterbilt of Atlanta,www.peteatlanta.com,Finance, United States,Chroma Color Corporation is a specialty color and additive concentrate supplier serving the global plastics marketplace.,18/6/24,20375,99,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Great Lakes International Trading,www.glit.com,Retail, United States,"Great Lakes International Trading first opened its doors in Traverse City, Michigan, as a full service import & export company specializing in processed fruits, edible seeds, and shell nuts.",18/6/24,20121,15,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Eagle Materials,www.eaglematerials.com,Manufacturing, United States,"Eagle Materials manufacturers, distributes, and sells gypsum wallboard, cement, recycled paperboard, and concrete and aggregates.",16/6/24,20071,384,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Brainworks Software,www.brainworks.com,Software Development, United States,"Software Development, Software General, Media and Entertainment, Application Software, Software, Social Media, Business Productivity Software, Internet Services",18/6/24,20067,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
3GL Technology Solutions,www.3gl.ca,Business Services, Canada,"3GL still provides all the services, preventative maintenance, hosting, and disaster recovery that you would expect from an elite technology company.",18/6/24,20045,265,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Goodman Reichwald-Dodge,www.freightbillauditor.com,Customer Services, United States,Goodman Reichwald-Dodge Inc is a company that operates in the Logistics and Supply Chain industry.,19/6/24,20079,7,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Western Mechanical,www.westmech-hvac.com,Construction, United States,"Western Mechanical, Inc. is proud of their service to the residential community. Not only do we do new construction, but we provide 24 hour emergency service and support thorughout our service area.",19/6/24,20074,11,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Seagulf Marine Industries,www.seagulf.com,Transportation, Canada,Seagulf is the authorized distributor for Castrol Marine in Eastern Canada. We keep a wide range of products in inventory.,19/6/24,20043,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Kinter,www.kinter.com,Manufacturing, United States,"Kinter is a distributor of quality metal and plastic fasteners, hanging hardware & accessories, display components and more.",17/6/24,19660,215,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Corbin Turf & Ornamental Supply,www.corbinturf.com,Cosumer Services, United States,"Corbin Turf & Ornamental Supply, Inc. is a leading turf and ornamental distributor in the Southeast headquartered in Greenville, SC. Known for developing close relationships with both customers and vendors, our company provides professional fertilizers, fungicides, herbicides, insecticides, seed, and accessories to a variety of industries.",17/6/24,19486,161,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Air Cleaning Specialists,www.aircleaningspecialists.com,Construction, United States,"For over 40 years, Air Cleaning Specialists, Inc., has been providing indoor air quality solutions for industrial and commercial applications. We began in 1979 by selling and servicing Smokeeters for tobacco applications and have since grown exponentially into an internet marketing company with solid US distribution capabilities.",17/6/24,19484,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Diverse Technology Industrial,www.dtindustrialflooring.com,Construction, United States,"Diverse Technology Industrial specializes in quality concrete solutions for all your exterior challenges. Flooring systems can be used for a variety of applications to achieve specific performance criteria, an aesthetic appearance or a combination of both.",17/6/24,19429,319,"['PII', 'Customer and Client Data', 'Financial Data']",Play
City Builders,www.citybuilders.com,Construction, United States,City Builders offers an array of high quality products for your home that we truly believe are the best in the industry.,17/6/24,19416,18,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Refcio & Associates,www.rrlaw.ca,Legal Services, Canada,"Robinson & Refcio is a local London law firm that focuses on providing quality, cost-effective legal services to small and medium size businesses in the London area and throughout the Province.",17/6/24,19367,123,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aldenhoven,www.aldenhoven.nl,Finance, Netherlands,Aldenhoven Interieurwerken makes custom furniture and complete interiors.,17/6/24,19434,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Amarilla Gas,www.amarillagas.com,Utilities, Argentina,"Amarilla Gas is a company with national capital, in continuous expansion of its Liquefied Petroleum Gas (LPG) marketing systems.",17/6/24,19341,250,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ab Monsteras Metall,www.monsterasmetall.se,Transportation, Sweden,Ab Monsteras Metall is a company that operates in the Wholesale industry.,17/6/24,19332,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Me Too Shoes,www.metooshoes.com,Manufacturing, United States,"For nearly 20 years, ...me Too has stood out in the industry by fulfilling a tall order: shoes that are stylish, comfortable and high quality.",17/6/24,19367,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Celluphone,www.celluphone.com,Telecommunications, United States,"Celluphone, Inc. is engaged in the wholesale distribution of wireless equipment. It offers smartphones, feature phones, Internet devices, and accessories; online tools for large retail chains; and personal support services.",17/6/24,19387,93,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Walder Wyss and Partners,www.wwp.ch,Retail,  Switzerland,Walder Wyss and Partners is a company that operates in the Legal Services industry.,17/6/24,19428,46,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ntv,www.ntv.ca,Media and Internet, Canada,"NTV is headquartered in St. John's, Newfoundland and Labrador, Canada, the easternmost tip of North America. NTV is independently owned and operated and is broadcast in HD.",2/6/24,22001,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
WALSER AUTOMOTIVE GROUP,www.walser.com,Retail, United States,"Walser Automotive Group has been family-owned and operated in Minnesota for over 65 years, where we pioneered our âBest Price Firstâ philosophy; we offer the lowest price we can on every vehicle from the start, no hassle or haggle required.",2/6/24,21959,469,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Elmhurst Group,www.elmhurstgroup.com,Real Estate, United States,"The Elmhurst Group of companies is a 45-year-old Pittsburgh-based organization that invests in commercial real estate and the hospitality industry. Elmhurstâs real estate holdings include 40 buildings on 21 sites, totaling more than three million square feet of office, distribution, flex, and hotel space. Elmhurstâs long-term strategy is to continually increase the value of each of its properties by providing strong and dedicated management and exceptional customer service.",2/6/24,21893,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FPL Food,www.fplfood.com,Manufacturing, United States,"Founded in 2004 and headquartered in Augusta, Georgia, FPL Food, LLC produces and processes beef products. The Company offers beef tenderloin, ribeye, striploin, brisket, boneless shank, cube steak, and sliced knuckle products.",11/6/24,21960,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Credit Central,www.creditcentralllc.com,Construction, United States,"Credit Central provides installment loans to qualified Alabama, Georgia, South Carolina, Tennessee, and Texas residents. We also offer free tax preparation, filing, and options for advance tax refund loans.",1/6/24,21869,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Levin Porter Associates,www.levin-porter.com,Construction, United States,"Levin Porter Associates Inc. was founded in Dayton, Ohio in 1960. The services of Levin Porter Associates Inc, with its consultants, includes planning, programming, architecture, interior design, cost estimating, engineering and specialized technologies required for a complete project. For over 50 years,",29/5/24,23135,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Semicore Equipment,www.semicore.com,Consumer Services, United States,"Semicore is a manufacturer and worldwide supplier of PVD or Physical Vapor Deposition equipment and thermal evaporation systems for the electronics, academics, optical, solar energy and etc.",29/5/24,23041,21,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Visa Lighting,www.visalighting.com,Manufacturing, United States,"Visa Lighting's mission is to forge bold, exceptional experiences through progression and creative collaboration.",28/5/24,23077,127,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ardenbrook,www.ardenbrook.com,Real Estate, United States,"Ardenbrook, Inc. is one of the San Francisco Bay Area's largest real estate investment companies. The company has over 90 years of combined operational experience and owns or operates numerous properties including office and industrial buildings, shopping centers and apartment complexes. Holdings are in five Western States but primarily in the East Bay.",28/5/24,22979,17,"['PII', 'Customer and Client Data', 'Financial Data']",Play
RDI-USA,www.rdiglobalhospitality.com,Hospitality, United States,"RDI-USA, Inc. was established in 2004 with a vision to create a global sourcing solution for all aspects of the Hospitality Industry. The combination of experience and product development allows us to deliver quality products at low prices. Our products are maintained at the highest level of integrity to meet our Customer's and Brand's standards.",28/5/24,22991,326,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Anchorage Daily News,www.adn.com,Media and Internet, United States,"Based in Anchorage, Anchorage Daily News offers news, features and commentary with a statewide focus.",28/5/24,22995,16,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Experis Technology Group,www.experistg.com,Software, United States,"For the past two decades, Experis Technology Group, Inc. has been integrating the best of breed software and hardware solutions, along with our consulting services to deliver non-stop environments. We provide businesses with secure, high performing, and highly available systems to support mission-critical workloads.",28/5/24,22934,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
The Louis G Freeman,www.freemancompany.com,Manufacturing, United States,The Louis G Freeman Co is a company that operates in the Machinery industry.,28/5/24,22557,240,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Aspire Tax,www.aspiretax.com,Business Services, United States,"Aspire Tax and Bookkeeping Services is based out of New York, USA and is a trusted accounting partner to a large number of business establishmentsand CPAs in US and Canada, since 2012. With a Better Business Bureau rating of A+, we have created a benchmark in providing cost effective bookkeeping, accounting and taxation services.",28/5/24,22443,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Starostwo Powiatowe w Åwiebodzinie,www.samorzad.gov.pl,Government, Poland,Starostwo Powiatowe w Åwiebodzinie is a company that operates in the Government industry.,28/5/24,22475,10,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tri-state General Contractors,www.tri-stategc.com,Construction, United States,"The Best and Fastest Retail Builders in CA, AZ, NV, HI, ID, UT, WA, OK, NM, TX Incorporated in 2008, Tri State General Contractors specializes in retail and commercial construction with licenses in CA, AZ, NV, HI, ID, UT, OK, NM and TX. In 2013 Dave Mason, Sr. was named President of Tri State General Contractors and brought over 34 years of construction experience to the company.",28/5/24,22459,397,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ryder Scott Co.,www.ryderscott.com,Construction, United States,"We pride ourselves on providing personal service. Ryder Scott is committed to satisfying the individual needs of its clients. This helps build thelong-term business, professional and personal relationships that are so important in working together toward a common objective.",28/5/24,22460,333,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Badger Tag & Label,www.badgertag.com,Business Services, United States,Badger Tag & Label will continually strive to provide quality products at competitive prices to our customers nationwide and beyond. We believe insmall town values and take customer service very seriously. Our customers know we are a company in the Midwest in whom they can place their trust.,12/5/24,23956,61,"['PII', 'Customer and Client Data', 'Financial Data']",Play
NK Parts Industries,www.nkparts.com,Transportation, United States,"NK Parts Industries is a global supply chain and logistics management company providing a one-vendor supply chain management system that can provide domestic and international logistics, freight forwarding, exporting, warehousing, packaging, manufacturing services.",12/5/24,23912,598,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LiveHelpNow,www.livehelpnow.net,Business Services, United States,"LiveHelpNow offers a full suite of integrated solutions to streamline the ""business to consumer"" customer service process. LiveHelpNow provides award winning solutions for businesses looking to better sell to consumers.",12/5/24,23875,531,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Sentry Data Management,www.sentrydatamgt.com,Business Services, United States,"Sentry is committed to helping our customers handle a variety of information management challenges. The most important of these challenges is our main concern: Privacy. Whether you need important documents stored off-site or a major clean out of old files, you can count on Sentry to always use uncompromising security standards to get the job done efficiently and securely.",13/5/24,24519,52,"['PII', 'Customer and Client Data', 'Financial Data']",Play
KC Scout,www.kcscout.net,Education, United States,KC Scout is a company that operates in the Public Safety industry.,13/5/24,24517,351,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Utica Mack,www.uticamack.com,Transportation, United States,New York's leading heavy duty truck dealerships.,13/5/24,24470,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Affordable Payroll & Bookkeeping Services,www.apb-services.com,Finance, United States,"Affordable Payroll & Bookkeeping (APB) is group of Certified Public Accountants, Professional Accountants and Certified Bookkeepers having a combined experience of over decade. APB provides reliable and professional bookkeeping and payroll services to small and mid level business in New York and state of Massachusetts.",13/5/24,24473,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Donco Air,www.raymon-hvac.com,Manufacturing, United States,"Raymon-Donco manufactures air distribution equipment for the heating, ventilating and air conditioning industry. We produce a custom line of air diffusers used primarily in commercial buildings. Sales are made through our network of manufacturers' representatives in offices across the United States and Canada.",13/5/24,24494,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Somerville,www.somervilleinc.com,Construction, United States,Somerville is a company that operates in the Architecture & Planning industry.,13/5/24,24488,151,"['PII', 'Customer and Client Data', 'Financial Data']",Play
